"profile_id","dataset_id","country_id","latitude","longitude","cfao_version","cfao_major_group","cwrb_version","cwrb_reference_soil_group","cstx_version","cstx_order_name","translated"
208408,{MX-INEGI},MX,23.45278218,-109.65527795,1974,Xerosols,,,,,true
208514,{MX-INEGI},MX,20.56952402,-104.37550564,1974,Rankers,,,,,true
208688,{MX-INEGI},MX,23.88494956,-105.28881111,1974,Rankers,,,,,true
208705,{MX-INEGI},MX,23.76157826,-105.69568130,1974,Rankers,,,,,true
208783,{MX-INEGI},MX,23.94242741,-102.09788511,1974,Xerosols,,,,,true
208794,{MX-INEGI},MX,23.87285666,-103.35446152,1974,Yermosols,,,,,true
208859,{MX-INEGI},MX,23.16956728,-103.26730788,1974,Xerosols,,,,,true
208866,{MX-INEGI},MX,23.10214916,-102.14619067,1974,Xerosols,,,,,true
208869,{MX-INEGI},MX,23.07024858,-103.13317786,1974,Yermosols,,,,,true
208874,{MX-INEGI},MX,23.05443261,-102.27398078,1974,Xerosols,,,,,true
209045,{MX-INEGI},MX,22.34390850,-103.13038636,1974,Xerosols,,,,,true
209062,{MX-INEGI},MX,22.13988516,-102.23213602,1974,Xerosols,,,,,true
209063,{MX-INEGI},MX,22.14713193,-102.39519067,1974,Rankers,,,,,true
209099,{MX-INEGI},MX,21.84148382,-104.67645755,1974,Rankers,,,,,true
209233,{MX-INEGI},MX,21.41585871,-102.35653797,1974,Xerosols,,,,,true
209285,{MX-INEGI},MX,23.92224160,-100.05992836,1974,Xerosols,,,,,true
209291,{MX-INEGI},MX,23.84777942,-101.20841084,1974,Xerosols,,,,,true
209294,{MX-INEGI},MX,23.82857052,-100.75145003,1974,Xerosols,,,,,true
209330,{MX-INEGI},MX,23.45543579,-100.38904353,1974,Xerosols,,,,,true
209334,{MX-INEGI},MX,23.38855106,-101.22089080,1974,Xerosols,,,,,true
209392,{MX-INEGI},MX,23.84155270,-98.27541142,1974,Xerosols,,,,,true
209394,{MX-INEGI},MX,23.77473155,-99.97291016,1974,Xerosols,,,,,true
209408,{MX-INEGI},MX,23.65430788,-99.97345115,1974,Xerosols,,,,,true
209413,{MX-INEGI},MX,23.61439444,-99.94712902,1974,Xerosols,,,,,true
209437,{MX-INEGI},MX,23.38472982,-99.75964515,1974,Xerosols,,,,,true
209444,{MX-INEGI},MX,23.31461518,-99.76014234,1974,Xerosols,,,,,true
