profile_id,profile_layer_id,upper_depth,lower_depth,tceq_value_avg,clay_value_avg,elcosp_value_avg,orgc_value_avg,phaq_value_avg,sand_value_avg,silt_value_avg,latitude,longitude
214426,1059928,30,59,,,,,8.60000038,,,31.12487009,-106.77827181
214426,1059926,59,78,,54.0,,,8.5,38.0,8.0,31.12487009,-106.77827181
214426,1059927,0,30,,54.0,45.0,,8.60000038,32.0,14.0,31.12487009,-106.77827181
215104,1060488,39,77,,,2.20000005,,7.400000099999999,,,28.87677831,-102.37407819
215104,1060484,77,100,,40.0,1.0,,8.10000038,36.0,24.0,28.87677831,-102.37407819
215104,1060485,0,12,,16.0,1.0,,8.10000038,64.0,20.0,28.87677831,-102.37407819
215104,1060486,12,23,,12.0,1.0,,8.10000038,66.0,22.0,28.87677831,-102.37407819
215104,1060487,23,39,,24.0,1.0,,7.599999900000001,54.0,22.0,28.87677831,-102.37407819
215197,1060679,0,17,,,1.0,,7.69999981,,,28.36837032,-100.40210659
215205,1060694,0,21,,,1.0,,7.900000099999999,,,28.23475741,-100.37544225
207991,1061721,37,55,,12.0,1.0,,7.30000019,,,16.5564648,-93.43234087
207991,1061720,23,37,,12.0,1.0,,7.0,64.0,24.0,16.5564648,-93.43234087
207991,1061722,0,23,,6.0,1.0,,6.69999981,82.0,12.0,16.5564648,-93.43234087
208434,1062074,75,95,,,2.70000005,,7.80000019,,,23.91728019,-106.8906247
208434,1062072,0,25,,34.0,1.0,,7.400000099999999,26.0,40.0,23.91728019,-106.8906247
208434,1062073,95,115,,38.0,2.5999999,,7.900000099999999,30.0,32.0,23.91728019,-106.8906247
208434,1062075,50,75,,46.0,4.5999999,,7.5,22.0,32.0,23.91728019,-106.8906247
208434,1062076,25,50,,36.0,2.4000001,,7.400000099999999,26.0,38.0,23.91728019,-106.8906247
209024,1062371,0,12,,,1.0,,8.5,,,22.55507958,-102.24571134
209024,1062372,12,25,,28.0,1.0,,8.10000038,28.0,44.0,22.55507958,-102.24571134
209424,1062704,0,50,,,2.5,,7.80000019,,,23.50994857,-98.12653915
209504,1062797,0,32,,,1.0,,7.599999900000001,,,23.02539357,-97.82030985
209504,1062796,59,110,,30.0,1.0,,7.69999981,64.0,6.0,23.02539357,-97.82030985
209504,1062798,32,59,,36.0,1.0,,7.099999900000001,58.0,6.0,23.02539357,-97.82030985
216485,1063068,85,110,0.0,,0.0,96.0,4.80000019,,,20.17416635,-98.09405424
216485,1063072,35,65,0.0,,0.10000000099999999,68.0,3.9000001,,,20.17416635,-98.09405424
216485,1063069,0,35,0.0,36.0,0.10000000099999999,29.0,4.69999981,52.0,12.0,20.17416635,-98.09405424
216485,1063070,65,85,0.0,38.0,0.0,40.0,4.4000001,40.0,22.0,20.17416635,-98.09405424
216485,1063071,110,125,0.0,47.0,0.0,52.0,4.5999999,33.0,20.0,20.17416635,-98.09405424
216487,1063078,70,110,220.0,,0.200000003,1.0,8.30000019,,,20.31640641,-98.40135165
216487,1063079,49,70,285.0,20.0,0.10000000099999999,1.0,7.900000099999999,48.0,32.0,20.31640641,-98.40135165
216487,1063080,0,30,0.0,22.0,0.10000000099999999,8.0,5.0999999,44.0,34.0,20.31640641,-98.40135165
216487,1063081,30,49,0.0,48.0,0.10000000099999999,2.0,6.69999981,30.0,22.0,20.31640641,-98.40135165
216500,1063127,0,12,228.0,,0.400000006,68.0,7.400000099999999,,,20.77367323,-99.16020136
216500,1063125,62,85,155.0,,0.10000000099999999,2.0,8.19999981,,,20.77367323,-99.16020136
216500,1063126,37,62,235.0,40.0,0.10000000099999999,5.0,8.10000038,37.0,23.0,20.77367323,-99.16020136
216500,1063128,12,37,30.0,46.0,0.200000003,16.0,8.0,32.0,22.0,20.77367323,-99.16020136
216489,1063086,60,80,220.0,,0.800000012,5.0,4.19999981,,,20.23601987,-98.71016548
216489,1063089,80,110,280.0,,0.0,2.0,4.9000001,,,20.23601987,-98.71016548
216489,1063087,0,30,0.0,28.0,0.300000012,27.0,5.5,52.0,20.0,20.23601987,-98.71016548
216489,1063088,30,60,0.0,18.0,0.0,5.0,5.0,54.0,28.0,20.23601987,-98.71016548
216491,1063095,50,70,415.0,,0.200000003,2.0,7.69999981,,,20.42985884,-98.63035808
216491,1063094,0,10,0.0,46.0,0.0,9.0,7.0,34.0,20.0,20.42985884,-98.63035808
216491,1063096,10,30,0.0,50.0,0.0,8.0,6.30000019,32.0,18.0,20.42985884,-98.63035808
216491,1063097,30,50,0.0,68.0,0.200000003,6.0,6.5,20.0,12.0,20.42985884,-98.63035808
216493,1063106,0,30,0.0,,0.699999988,64.0,4.5999999,,,20.69310506,-98.42301128
216493,1063102,110,150,0.0,21.0,0.0,2.0,4.80000019,34.0,45.0,20.69310506,-98.42301128
216493,1063103,30,50,0.0,41.0,0.699999988,21.0,4.30000019,20.0,39.0,20.69310506,-98.42301128
216493,1063104,50,80,0.0,21.0,0.10000000099999999,4.0,4.80000019,34.0,45.0,20.69310506,-98.42301128
216493,1063105,80,110,0.0,19.0,0.0,2.0,5.0,34.0,47.0,20.69310506,-98.42301128
216497,1063116,73,102,400.0,,0.200000003,6.0,8.10000038,,,20.70194719,-99.98358458
216497,1063117,102,125,345.0,,0.10000000099999999,6.0,8.0,,,20.70194719,-99.98358458
216497,1063114,0,29,,47.0,0.200000003,10.0,7.69999981,30.0,23.0,20.70194719,-99.98358458
216497,1063113,29,57,,43.0,0.200000003,6.0,8.0,34.0,23.0,20.70194719,-99.98358458
216497,1063115,57,73,,50.0,0.300000012,6.0,7.69999981,24.0,26.0,20.70194719,-99.98358458
216499,1063121,105,130,208.0,,0.10000000099999999,2.0,8.0,,,20.5341834,-99.07741719
216499,1063119,50,80,,44.0,0.200000003,18.0,7.400000099999999,24.0,32.0,20.5341834,-99.07741719
